,accept_coupon,coupon,bar,coffee,carry-out,restaurant(<$20),restaurant($20-$50),expire_1d,is_male,below_21,bw_21to25,bw_26to30,bw_31to35,bw_36to40,bw_41to45,bw_46to49,above_50,single,unmarried_couple,married,divorce,widow,has_children,some_high_school,high_school,some_college,associates,bachelors,graduate,occupation,income,destination_home,destination_work,destination_not_urgent,passanger_alone,passanger_friz,passanger_kid,passanger_partner,is_rainy,is_snowy,is_sunny,is_freeze,is_cold,is_warm,t07AM,t10AM,t02PM,t06PM,t10PM,distance,direction_same
0,1,Restaurant(<20),0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5.0,0
1,0,Coffee House,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,5.0,0
2,1,Bar,0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,5.0,0
3,0,Carry out & Take away,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,15.0,0
4,0,Coffee House,0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5.0,0
5,0,Coffee House,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,15.0,0
6,0,Coffee House,0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,15.0,0
7,1,Restaurant(<20),0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,15.0,0
8,0,Coffee House,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,5.0,0
9,1,Restaurant(<20),0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,15.0,0
10,0,Coffee House,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,5.0,0
11,1,Carry out & Take away,0.0,1.0,3.0,3.0,1.0,True,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,15.0,0
12,0,Coffee House,0.0,1.0,3.0,3.0,1.0,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Architecture & Engineering,74999.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5.0,0
